dt,Open,High,Low,Close,Volume
01.08.2024 00:00:00,64596,64661,64567,64640,0.0015999999999999999
01.08.2024 00:05:00,64628,64754,64626,64748,0.0013000000000000002
01.08.2024 00:10:00,64748,64764,64588,64621,0.0017
01.08.2024 00:15:00,64621,64720,64591,64636,0.0015999999999999999
01.08.2024 00:20:00,64636,64648,64548,64550,0.0013
01.08.2024 00:25:00,64549,64668,64375,64528,0.0017
01.08.2024 00:30:00,64520,64678,64509,64671,0.0017000000000000001
01.08.2024 00:35:00,64676,64796,64676,64784,0.0017
01.08.2024 00:40:00,64784,64784,64605,64620,0.0019
01.08.2024 00:45:00,64620,64627,64325,64429,0.002
01.08.2024 00:50:00,64429,64604,64429,64551,0.0014
01.08.2024 00:55:00,64551,64647,64519,64615,09999999999999998
01.08.2024 01:00:00,64615,64770,64562,64712,0.0015999999999999999
01.08.2024 01:05:00,64711,64712,64518,64520,0.0018
01.08.2024 01:10:00,64518,64648,64469,64602,0.0019
01.08.2024 01:15:00,64602,64604,64446,64451,0.0018999999999999998
01.08.2024 01:20:00,64452,64464,64355,64385,0.0015999999999999999
01.08.2024 01:25:00,64385,64533,64375,64504,0.0012
01.08.2024 01:30:00,64504,64509,64328,64346,0.0018
01.08.2024 01:35:00,64346,64358,64086,64202,0.0023
01.08.2024 01:40:00,64202,64420,64191,64369,0.0015999999999999999
01.08.2024 01:45:00,64372,64377,64270,64349,0.0014
01.08.2024 01:50:00,64349,64401,64162,64184,0.0015999999999999999
01.08.2024 01:55:00,64184,64184,64109,64144,0.0014
01.08.2024 02:00:00,64157,64187,63902,63979,0.0021
01.08.2024 02:05:00,63977,64039,63867,64039,0.0017999999999999997
01.08.2024 02:10:00,64039,64181,64031,64141,0.0012000000000000001
01.08.2024 02:15:00,64141,64213,63966,63966,0.002
01.08.2024 02:20:00,63966,64035,63855,63939,0.0018
01.08.2024 02:25:00,63957,64051,63886,63964,0.0018999999999999998
01.08.2024 02:30:00,63967,64132,63901,64078,0.0019
01.08.2024 02:35:00,64078,64096,63992,64072,0.0015999999999999999
01.08.2024 02:40:00,64072,64076,63966,64002,0.0019
01.08.2024 02:45:00,64002,64006,63866,63873,0.0018
01.08.2024 02:50:00,63871,64025,63871,63996,0.0012000000000000001
01.08.2024 02:55:00,63996,64084,63955,64068,0.0011
01.08.2024 03:00:00,64068,64087,63924,63979,0.0017
01.08.2024 03:05:00,63979,64020,63798,63816,0.0026
01.08.2024 03:10:00,63808,63924,63787,63801,0.0021
01.08.2024 03:15:00,63801,63865,63716,63848,0.0024000000000000002
01.08.2024 03:20:00,63830,63983,63816,63942,0.0017
01.08.2024 03:25:00,63944,64009,63894,63989,0.0012000000000000001
01.08.2024 03:30:00,63989,64030,63951,64002,0.0011
01.08.2024 03:35:00,64002,64010,63896,63898,0.0021
01.08.2024 03:40:00,63895,63949,63866,63949,0.0014000000000000002
01.08.2024 03:45:00,63949,64009,63929,63988,08000000000000001
01.08.2024 03:50:00,63988,64016,63892,63916,0.0011
01.08.2024 03:55:00,63906,63922,63833,63909,0.0016
01.08.2024 04:00:00,63909,63921,63834,63892,0.0014
01.08.2024 04:05:00,63892,63994,63892,63950,0.0012
01.08.2024 04:10:00,63952,64010,63916,64010,0.001
01.08.2024 04:15:00,64010,64010,63811,63862,0.0012000000000000001
01.08.2024 04:20:00,63862,63941,63859,63888,0.0015999999999999999
01.08.2024 04:25:00,63888,63940,63768,63806,0.0018
01.08.2024 04:30:00,63806,63884,63746,63786,0.0017
01.08.2024 04:35:00,63786,63872,63734,63865,0.0018
01.08.2024 04:40:00,63863,63894,63688,63746,0.0019
01.08.2024 04:45:00,63758,63808,63606,63683,0.0021000000000000003
01.08.2024 04:50:00,63683,63718,63601,63603,0.0024000000000000002
01.08.2024 04:55:00,63603,63733,63563,63690,0.0017
01.08.2024 05:00:00,63690,63690,63545,63558,0.002
01.08.2024 05:05:00,63558,63799,63546,63799,0.0017
01.08.2024 05:10:00,63799,63885,63773,63865,0.0015999999999999999
01.08.2024 05:15:00,63865,63989,63854,63949,0.0018000000000000002
01.08.2024 05:20:00,63948,64003,63873,63987,0.0015999999999999999
01.08.2024 05:25:00,63987,64157,63964,64157,0.0014
01.08.2024 05:30:00,64157,64172,64067,64070,0.0018999999999999998
01.08.2024 05:35:00,64067,64133,64067,64093,0.0013
01.08.2024 05:40:00,64093,64294,64091,64276,0.0013
